product_ID,name,year,num_parts,price,img_link,primary_color,secondary_color,description,category
1,Star Wars Super Pack 3 in 1,2009,3,300,https://m.media-amazon.com/images/I/51bwtCxXF2L._AC_SX425_.jpg,Grey,Black,"As the Battle of Geonosis™ rages on, Jedi Master Stass Allie and a Clone Trooper™ spot a deadly LEGO® Star Wars™ Homing Spider Droid™ in the distance. Overpower the droid before it attacks with its articulated legs, rotating head, elevating lower gun and top-mounted flick missile! Then, take on 2 Super Battle Droids™! Includes 4 minifigures with weapons: Stass Allie, Clone Trooper and 2 Super Battle Droids.

Includes 4 minifigures with weapons: Stass Allie, Clone Trooper and 2 Super Battle Droids™
Features articulated legs, rotating head, elevating lower gun and top-mounted flick missile
Weapons include a Lightsaber and a blaster rifle
Move the legs, rotate the head and fire the flick missile!
Use Stass Allie’s Jedi powers to stop the attack!
Recreate awesome battle scenes from Star Wars™: Episode II Attack of the Clones
Build an even bigger Battle of Geonosis with 75015 Corporate Alliance Droid™, 75019 AT-TE™ and 75021 Republic Gunship™!
Measures over 7"" (20cm) high, 10"" (26cm) long and 7"" (19cm) wide",Star Wars
2,LEGO® DC Universe Super Heroes Superman™ Minifigure Clock,2013,0,12,https://m.media-amazon.com/images/I/71AUw95nXkL._AC_SL1500_.jpg,Blue,Red,"Hit the streets of Metropolis or just hit snooze with the Superman™ Minifigure Clock! Make your LEGO® décor collection fun and functional with a digital, lighted display and alarm clock. Makes a great gift for fans of the LEGO DC Universe Super Heroes building sets!


Features jumbo Superman™ minifigure with a fabric cape and digital LCD display alarm clock with snooze
Movable wrists, legs, arms and head
Easy-to-read digital LCD display
Makes a great gift for fans of the LEGO® DC Universe Super Heroes building sets!
Measures over 9"""" (22cm) tall",DC
3,Harry Potter Classic Kit,2011,3,80,https://m.media-amazon.com/images/I/81YSK5uUQoL._AC_SL1500_.jpg,Tan,Brown,"Young wizards will recall the Battle of Hogwarts (76415) from the Harry Potter and the Deathly Hallows movie - Part 2 with this LEGO Harry Potter playset for boys and girls aged 9 and up. This LEGO modular building set contains a detailed brick section of the Hogwarts Castle building, which can be disassembled during the battles between Voldemort and Harry Potter in the yard. The toy castle modules can be rearranged to create the bridge of another memorable setting from the famous saga, and this collectible Harry Potter set can be linked to others in the series to create an entire Hogwarts Castle. Kids can bring magical stories to life with the figure of Nagini, along with the 6 LEGO minifigures of Neville Paciock with the Sword of Gryffindor, Scabior, Molly Weasley, Bellatrix Lestrange, Harry Potter and Voldemort; the latter two feature a wand with connectable LEGO elements to create a spell effect. Using the Aura Builder app, young magicians, witches and muggles can experience an even more fun building adventure with digital tools like zoom and rotation, as well as saving sets and tracking progress. This Hogwarts Castle model measures 28cm high, 44cm wide and 11cm deep. Contains 728 pieces.",Harry Potter
4,Ahsoka's Starfighter and Vulture Droid,2009,290,150,https://m.media-amazon.com/images/I/91Rk1i6hZrL._AC_SL1500_.jpg,Red,White,"Using her wits, piloting skills and Jedi training, Ahsoka flies her Clone Wars starfighter in a daring space battle against Separatist droids. Fire the flick-launching missiles, but watch out for the buzz droids! Vulture droid converts from fighter to walker mode!",Star Wars - Flight
5,Emergency Ambulance and Snowboarder,2024,79,20,https://www.lego.com/cdn/cs/set/assets/blt9ca0055e7e1afab8/60403_alt1.png?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1,Blue,White,"Look forward to the shared gaming experience with your little builder. LEGO® City Ambulance & Snowboarder (60403) is an ambulance playset that's equipped for off-road rescue missions with chunky tyres. In addition, the set includes a backdrop depicting a snow-covered skate park, as well as two minifigures (snowboarder and paramedic) that invite imaginative stories.

This easy-to-build ambulance playset includes a LEGO starter building element and picture guides. In addition, the LEGO Builder app – our digital building guide – has intuitive zoom and rotation features that let your child view virtual 3D model views from any angle as they build.

Your city, no limits! LEGO City sets offer thrilling action with cool vehicles and realistic constructions. Great characters invite you to imaginative role-play and let your child re-enact real events. For countless other ways to play, you can also combine this ambulance with other LEGO City models sold separately.

Toy Ambulance: Look forward to the shared play experience with your little builder. LEGO® City Ambulance and Snowboarder is a great building and play set for kids aged 4 and up
Contents of the box: Everything children need to build an ambulance and a snow-covered skate park. The building set also includes two minifigures (snowboarder and paramedic)
Great set for children who like to play imaginatively: With the ambulance, the stretcher and the syringe, children can perform many rescue missions
Immersive building and play set with interactive instructions – In the LEGO® Builder app, your child can explore and save virtual playsets, track construction progress, and zoom in and rotate 3D model views as they build
Great gift for any occasion: This building set is a nice spontaneous reward or a cool Christmas gift for boys and girls aged 4 and up
Welcome to a creative play world – for more exciting adventures, all you have to do is combine this set with other LEGO® City models sold separately
City Without Limits – In LEGO® City, kids can let their imaginations run wild and play creatively with buildings, vehicles and figures that invite them to build and explore
Dimensions: The ambulance from this 79-piece playset is 7 cm high, 13 cm long and 7 cm wide",Personal - Vehicle
6,Ferrari F1 Racer 1:8,2006,1245,65,https://images.brickset.com/sets/large/8674-1.jpg?200606120539,Red,Black,"At 1:9 scale and almost 1,000 pieces, this is the biggest official Ferrari F1 racer ever built with LEGO bricks! Incredible real-world features include a removable front spoiler and tires that really steer. Packed with realistic Ferrari details! Working steering system turns front tires! Front spolier is removeable! Measures 20"" (52cm) long and 7"" (18cm) wide! Tires measure 2'½ (6cm) wide!",Car - Vehicle
7,Air Canada Jet Plane,1988,89,90,https://images.brickset.com/sets/images/611-2.jpg?200507270350,White,Red,611 Air Canada Jet Plane is a Promotional Universal Building Set Airport set released by Air Canada in 1988. The set includes a micro-scale Air Canada red and white plane.,Flight - Vehicle - Promotional
8,Batman's Buggy: The Escape of Mr. Freeze,2008,76,95,https://images.brickset.com/sets/images/7884-1.jpg?200805081137,Black,White,"Batman's Buggy is longer and thinner than his adversary's kart. It uses two different types of wheels with larger ones in the front, and smaller ones in the back. The back of the buggy has exposed exhaust pipes, that rest on top of a Bright Blue plate, which does not fit the buggy's colour scheme of Black with Bright Yellow accents. At the back of the buggy, there is a rudder shaped like a Bat's wing, and a Red/Yellow BIONICLE flame sword used to try and create the illusion Batman's travelling as high speeds. In the front, there's a harpoon gun mounted on top of the buggy's front. Turning the grapple gun supposedly steers the buggy as there is no other hint of a steering mechanism.

7884 Mr
Mr. Freeze's Kart

Mr. Freeze's Kart is only six studs long, and two studs wide (not counting the wheels and their protruding guards). All four of it's wheels are White and the same size. The wheel guards are two Medium Blue Part 41854 with a Medium Stone Grey raised grill plate in between. On the back of the Kart is a Transparent glass case holding a Transparent Light Blue diamond with an attached black hose, which connects the case to Mr. Freeze's ice gun and supposedly powers it. In the front of the Kart there is a 1x2 plate with a protruding bar and a 1x2 plate with a handle. In between the glass case and front, there is just enough room for Mr. Freeze to sit, but not enough for a steering mechanism.",Vehicle - Motorbike - Person
9,Ice Cream Truck,2020,200,14,https://www.lego.com/cdn/cs/set/assets/blt136fb371e68cccbd/60253.jpg?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1,Blue,Yellow,"Children can become everyday heroes with this fun LEGO City Ice-Cream Van (60253) truck toy for 5 + years old boys and girls. Kids get to save the day by serving cool ice cream in cones or popsicles to sweltering LEGO City citizens! And with room inside the van for the ice-cream lady to work and drive, plus a skateboarding customer with a cute dog, there’s plenty of scope for independent role-play fun. You’ll find building instructions for the LEGO City Ice-Cream Van toy car in the box. Or you can hop online and download Instructions PLUS, part of the LEGO Life app for smartphones and tablets. With amazing zoom and rotate viewing tools, this interactive building guide quickly turns budding LEGO builders into master builders. The ice cream truck toy makes a fun holiday, birthday or Christmas gift for kids age 5 +. The ice cream truck toy is over 4"" (11cm) high, 5"" (15cm) long and 2"" (6cm) wide. Contains 200 Pieces.
Colorful Ice-Cream Van - Features a vibrant ice-cream van toy truck with amusing stickers, removable driver's cabin roof, and wide-opening side doors for imaginative play.
Summer Fun Toy - This truck toy for 5+ year old girls and boys lets kids enjoy summer fun with an easy-access van interior and a removable van roof.
Serve Ice-Cream Treats - Kids can help drive the van, serve ice-cream cones and popsicles from the serving window, and assist the skateboarder in performing cool tricks.
Inclusive Minifigures - Includes 2 minifigures and a dog figure, plus an array of awesome accessories: a popsicle, cone, safety helmet, and a green money bill.
Interactive Building App - Digital Instructions PLUS guide via the free LEGO Life app for smart devices helps kids to zoom, rotate, and visualize the model as they build.
Perfect Gift Idea - The supercool ice cream van toy makes a fun holiday, birthday, or Christmas gift for 5+ year old girls and boys who love summer toys and building sets.",Vehicle - Car
10,Iconic Chess Set,2017,1450,46,https://www.lego.com/cdn/cs/set/assets/blt46a07a9b068b46c2/40174.jpg?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1,Black,White,"Use classic LEGO® bricks to build your own chess board and then build all the playing pieces too. This set is ideal to take and play wherever you like, as the pieces store conveniently inside the board. It can also be used to play checkers.

Includes a buildable chessboard and buildable playing pieces.
Board opens to store all the playing pieces inside.
Can also be used to play checkers.
This set includes over 1,400 pieces.
Board measures over 10” (26cm) square.",Game
